source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,solar_flood_use,has_open_numbers,does_not_have_open,url,retrieved,notes
NREL_VERISK_PV_INSURANCE_2020,NREL / kWh Analytics / Verisk — Photovoltaic (PV) Insurance Claims analysis (Technical Report NREL/TP-5C00-78588),renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SEVERITY', 'CLAIM_SHARE', 'DOLLARS_PER_CLAIM', 'PERIL_MIX']","['PRIMARY_BENCHMARK_CANDIDATE', 'SECONDARY_BENCHMARK']",Only open PV-specific claims dataset with a Flood/Water peril group; gives per-claim severity and count context for water-related solar damage.,"15,128 claims 2014–2019; $60.8M solar item value; >$1.2B total insured value in study. Flood/Water group reported per-claim statistics, but the published table has a column-alignment ambiguity: reading A avg $2,020 / median $1,210 / max $26,103 / stdev $2,839 (n=197); reading B avg $5,288 / median $2,358 / max $94,921 / stdev $12,143 (n=79).","Per-MW normalization, project TIV, capacity per claim, unambiguous flood column; original PDF table must be visually re-checked before either reading is trusted.",https://docs.nrel.gov/docs/fy21osti/78588.pdf,2026-07-09,Both column readings must be carried forward and flagged; do not silently pick one. Most concrete open PV flood-claim severity source found.
BMS_GCUBE_AUSTRALIA_2021,BMS Group / GCube — Australian renewables claims review,renewable_insurer_broker_claims_summary,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'PERIL_MIX', 'NATCAT_SHARE']",['SECONDARY_BENCHMARK'],Peril-mix share for solar where NatCat (including flood) is broken out relative to wind and contractor error.,NatCat (incl. flood) ≈ 22% of solar claims quantum vs ≈ 10% for wind; contractor error ≈ 68% of solar claims; solar external-peril share ≈ 72%.,Flood-only isolation from the NatCat bucket; $/MW; TIV; per-project denominators.,https://publications.bmsgroup.com/view/424753,2026-07-09,"NatCat bucket bundles flood with other perils; usable only as peril-share context, not a flood-only benchmark."
GCUBE_ARRESTED_DEVELOPMENT_2023,GCube — Arrested Development (construction-phase renewables claims report),renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'CLAIM_SEVERITY_MULTIPLIER', 'EVENT_LOSS_AGGREGATE']",['SECONDARY_BENCHMARK'],Construction-phase (CAR/DSU) flood frequency-vs-severity shape for wind+solar combined.,Flooding / heavy rainfall = 18% of weather-related construction claims by frequency but 46% by cost (≈ 2.6x severity multiplier); >$1B combined CAR + DSU claims in scope.,Solar-only split (wind+solar combined); $/MW; operational-phase applicability; TIV.,https://www.gcube-insurance.com/reports/arrested-development/,2026-07-09,"Strong flood severity-multiplier signal, but construction-phase and mixed-technology; label accordingly."
AXIS_HAEE_LEGACY_2016,AXIS / HAEE — legacy renewable energy severity bucket guidance,renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SEVERITY', 'EVENT_LOSS', 'BI_CBI']","['CASE_STUDY_ONLY', 'SECONDARY_BENCHMARK']",Qualitative severity-bucket scale and a named solar CBI flood-adjacent loss for order-of-magnitude context.,Severity buckets cited at USD 250k / 1M / 5M / 10M+; Puerto Rico solar contingent business interruption loss ≈ $20M.,Per-MW normalization; flood-only isolation; project TIV; distribution.,https://www.axiscapital.com/,2026-07-09,"Legacy qualitative buckets only; CBI figure is order-of-magnitude, not a normalized benchmark."
SWISSRE_CATCHING_THE_SUN_2024,Swiss Re — Catching the Sun (solar PV NatCat claims study),renewable_insurer_claims_publication,HAS_GATED_NUMBERS,"['CLAIM_SHARE', 'PERIL_MIX', 'SOURCE_DISCOVERY']","['SCREENING_ONLY', 'SOURCE_DISCOVERY']",Confirms peril hierarchy for solar PV but does not break out a flood share in the open material.,Hail cited as 3% of claims but ≈ 60% of losses; no open flood-specific percentage.,Any flood-only claim share or $/MW; flood is not separately quantified in open excerpts.,https://www.swissre.com/,2026-07-09,Negative for flood in the open material; treat as pathway/screening source for a fuller gated study.
MARSH_RENEWABLE_CLAIMS_2024,Marsh — renewable energy property claims context (storm/hail dominance),renewable_insurer_broker_claims_summary,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'PERIL_MIX']",['SECONDARY_BENCHMARK'],Bundled storm-peril share that implicitly caps a residual flood share for solar PV claim values.,Storm + hail together ≈ 80% of solar PV claim values; flood falls in the residual not separately broken out.,Flood-only isolation; $/MW; TIV; denominators.,https://www.marsh.com/,2026-07-09,"Flood is inside the residual band; usable only to bound, not to quantify, flood share."
GCUBE_HAIL_OR_HIGH_WATER_2023,GCube — Hail or High Water (peril-dominance commentary),renewable_insurer_claims_publication_summary,HAS_OPEN_NUMBERS,"['PERIL_MIX', 'QUALITATIVE']",['MECHANISM_ONLY'],"Qualitative signal that for solar the dominant catastrophic peril is not flood (wildfire/hail lead), while wind portfolios are more flood-exposed.",Qualitative only: solar loss profile wildfire/hail-dominant; wind loss profile flood-dominant.,Any numeric flood share or severity for solar.,https://www.gcube-insurance.com/,2026-07-09,Negative/contextual finding; explains why isolated solar flood $/MW is genuinely scarce.
ALLIANZ_GREENING_CLAIMS_2025,Allianz Commercial — greening/renewables claims trends,renewable_insurer_claims_publication,HAS_PATHWAY_ONLY,"['EVENT_LOSS', 'NAMED_EVENT', 'SOURCE_DISCOVERY']",['SOURCE_DISCOVERY'],"Names solar flood loss events (Australia, Germany, UAE) as trend markers without dollar figures.",Named flood events affecting solar in AU / DE / UAE; no per-event or per-MW dollar figures.,"Any dollar loss, capacity, or TIV.",https://commercial.allianz.com/,2026-07-09,Pathway/trend evidence only; acquire underlying loss runs to quantify.
MOODYS_RMS_SOLAR_FARM_FLOOD_CASE,Moody's RMS — solar farm flood exposure disaggregation case,engineered_pml_aal_product,HAS_GATED_NUMBERS,"['AAL', 'AAL_DELTA', 'FLOOD_DEPTH', 'SOURCE_DISCOVERY']","['PRIMARY_BENCHMARK_CANDIDATE', 'CASE_STUDY_ONLY']",Only open modeled statement of how much flood AAL moves for a solar farm when exposure is properly disaggregated.,"Flood AAL +230% vs windstorm +2% after exposure disaggregation on a 2,700-acre reservoir-adjacent site.",Absolute AAL dollars; $/MW; TIV; site identity; capacity.,https://www.rms.com/,2026-07-09,Relative delta only; strong evidence that flood AAL is highly geolocation-sensitive for solar. Absolute values gated.
MOODYS_RMS_US_INLAND_FLOOD_HD,Moody's RMS — U.S. Inland Flood HD model (industry-wide figures),renewable_cat_model_product,HAS_GATED_NUMBERS,"['AAL', 'PML', 'RETURN_PERIOD', 'PROTECTION_GAP']",['SOURCE_DISCOVERY'],Industry-scale inland-flood loss and protection-gap context; not solar-specific but sets the hazard-model backdrop.,1-in-100 U.S. inland flood ≈ $375B with ≈ 65% protection gap; +RCP4.5 2050 ≈ $472B; 1-in-500 > $1T with > 70% gap.,Solar-specific AAL/PML; asset-class breakouts; county solar bands.,https://www.rms.com/models/flood,2026-07-09,"All-industry hazard model; provides scale, not a solar benchmark."
VDE_NATCAT_INLAND_FLOOD,VDE Americas — All-NatCat risk & insurability report (inland flood component),engineered_pml_aal_product,HAS_GATED_NUMBERS,"['AAL', 'PML', 'FLOOD_DEPTH', 'TECHNOLOGY_SPECIFIC']",['PRIMARY_BENCHMARK_CANDIDATE'],Cleanest gated path to site- and technology-specific solar flood AAL/PML alongside other perils.,"Open pages confirm inland flood is included in the site-specific, lat/long, technology-specific NatCat product.",Actual flood AAL/PML values; requires commercial report.,https://www.vde.com/en/vde-americas/hail-risk/natural-catastrophe-risk-and-insurability-report,2026-07-09,Best acquisition pathway for comparison-ready solar flood AAL/PML; not open-data.
FATHOM_FLOOD_HAZARD,Fathom — global flood hazard maps (used in solar site screening),flood_hazard_data_product,HAS_GATED_NUMBERS,"['FLOOD_DEPTH', 'HAZARD_SCREENING', 'RETURN_PERIOD']","['SOURCE_DISCOVERY', 'MECHANISM_ONLY']",Hazard-depth layer used by developers/EDF-style screens to flag flood-unsuitable solar parcels.,Screening rule of thumb cited in solar siting: >3 ft modeled depth commonly treated as unsuitable / high-risk.,Dollar losses; AAL/PML; solar depth-damage functions.,https://www.fathom.global/,2026-07-09,"Hazard, not loss; feeds the depth axis of any damage function."
JBA_FLOOD_MODEL,JBA Risk Management — flood model and depth-damage methodology,renewable_cat_model_product,HAS_GATED_NUMBERS,"['AAL', 'FLOOD_DEPTH', 'DEPTH_DAMAGE_FUNCTION']","['SOURCE_DISCOVERY', 'MECHANISM_ONLY']",Documents the canonical flood-loss formula L = EV × DR(FD) and absolute-damage %sum-insured curves.,L = EV × DR(FD); absolute damage ratio expressed as % of sum insured; ≈ 38.6M of ≈ 130M U.S. buildings at flood risk (generic exposure).,Solar-specific DR curve; solar AAL/PML values.,https://www.jbarisk.com/,2026-07-09,"Provides the methodology (formula + curve shape), not solar numbers."
FIRST_STREET_FLOOD_MODEL,First Street Foundation — Cost of Climate / flood AAL model,flood_hazard_data_product,HAS_OPEN_NUMBERS,"['AAL', 'PROTECTION_GAP', 'RETURN_PERIOD']","['MECHANISM_ONLY', 'SECONDARY_BENCHMARK']",Open property-level flood AAL magnitudes and climate uplift; a generic (non-solar) reference band for AAL scale.,"5.7M properties with substantial flood risk; avg AAL $3,548/yr; $20.3B/yr aggregate; +67% by 2050 to $5,913/yr avg; ≈ 2x USACE estimates.",Solar-specific losses; utility-scale asset curves; $/MW.,https://firststreet.org/,2026-07-09,"Residential/commercial building AAL; use only as generic magnitude context, not a solar benchmark."
FEMA_HAZUS_FLOOD_CURVES,FEMA — Hazus Flood Technical Manual depth-damage functions,government_engineering_guidance,HAS_OPEN_NUMBERS,"['DEPTH_DAMAGE_FUNCTION', 'FLOOD_DEPTH']",['MECHANISM_ONLY'],Generic-industrial depth-damage curve library that must proxy for the missing solar-specific curve.,196 curves / 33 occupancy classes; haz_fl_dept coverage grid −4 to +24 ft; industrial/commercial occupancy curves usable as coarse solar-BOS proxy.,Any solar PV / BOS / inverter-specific curve.,https://www.fema.gov/flood-maps/tools-resources/flood-map-products/hazus,2026-07-09,Generic curves only; label as generic-industrial proxy wherever used for solar.
USACE_FREEBOARD_DEPTH_DAMAGE,USACE — depth-damage curves and freeboard AAL reduction guidance,government_engineering_guidance,HAS_OPEN_NUMBERS,"['DEPTH_DAMAGE_FUNCTION', 'AAL_REDUCTION', 'FREEBOARD']",['MECHANISM_ONLY'],Quantifies how elevation/freeboard cuts AAL — a mitigation-knob analog to hail stow for the flood pair.,No-freeboard max AAL 11.21% → +1 ft 2.002% (≈ 82% reduction); design inundation point −0.5→0 ft = 86.3% reduction; −2 ft → first-floor = 92% reduction.,Solar-specific curves; $/MW; solar AAL.,https://www.iwr.usace.army.mil/,2026-07-09,Generic building curves; the freeboard reduction ratios are the transferable mitigation signal.
JRC_GLOBAL_FLOOD_DEPTH_DAMAGE,European Commission JRC — Global flood depth-damage functions (2017),government_engineering_guidance,HAS_OPEN_NUMBERS,"['DEPTH_DAMAGE_FUNCTION', 'FLOOD_DEPTH']",['MECHANISM_ONLY'],Generic mechanism-shape reference (North America Industrial depth-damage curve); NOT used on the crosswalk hazard axis (the canonical flood_solar per-failure-unit depth->DR curve from Damage_Modeling is used there).,"North America Industrial factors by flood_depth_m: 0=0.03, 0.5=0.32, 1.0=0.51, 1.5=0.64, 2.0=0.74, 3.0=0.86, 4.0=0.94, 5.0=0.98, 6.0=1.00; Residential 0=0.20/0.5=0.44/1.0=0.58; Commercial 0=0.02/0.5=0.24/1.0=0.37.",Any solar PV / BOS-specific curve; damage-to-value calibration for solar.,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC105688/global_flood_depth-damage_functions__10042017.pdf,2026-07-09,"Retained only as generic mechanism-shape context; explicitly generic, not solar-calibrated. Superseded on the crosswalk hazard axis by the canonical flood_solar curve."
FM_GLOBAL_DS_7106_FLOOD,FM Global — Data Sheets 7-106 / 1-40 (solar & flood property protection),engineering_standard,HAS_OPEN_NUMBERS,"['ELECTRICAL_BOS_DAMAGE', 'FLOOD_DEPTH', 'MITIGATION_STATE', 'FOUNDATION_SCOUR']",['MECHANISM_ONLY'],Solar-specific engineering guidance identifying the flood failure unit (electrical/BOS) and elevation thresholds.,Elevate critical equipment 1–2 ft above the 500-yr flood MRI; erosion/scour risk noted above ≈ 7 ft/s flow velocity.,Dollar losses; AAL/PML; depth-damage percentages.,https://www.fmglobal.com/,2026-07-09,"Key source for the flood failure-unit argument (inverters/BOS/foundations, not module glass)."
RENEW_RISK_NO_FLOOD_PRODUCT,Renew Risk — solar cat-model (no dedicated flood peril),renewable_cat_model_product,NO_PRODUCT_FOUND,['SOURCE_DISCOVERY'],['SOURCE_DISCOVERY'],Documents a gap: the leading dedicated solar SCS cat-model does not currently offer an inland-flood peril.,"None for flood; product covers hail/tornado/wind for solar, flood not offered as of retrieval.",Any solar flood AAL/PML; a flood peril at all.,https://pv-magazine-usa.com/2026/05/07/renew-risk-launches-first-of-its-kind-model-to-assess-thunderstorm-risk-for-us-solar/,2026-07-09,Negative finding; reinforces scarcity of purpose-built solar flood modeling.
FIRSTSOLAR_ZURICH_LITIGATION_2023,First Solar Electric v. Zurich American — flood coverage litigation,forensic_adjuster_engineering_case_study,HAS_OPEN_NUMBERS,"['EVENT_LOSS', 'DEDUCTIBLE_SUBLIMIT', 'FLOOD_DEPTH', 'CLAIM_SEVERITY']","['PRIMARY_BENCHMARK_CANDIDATE', 'CASE_STUDY_ONLY']","Most reliable open-dollar solar flood loss: asserted claim, per-event deductibles, amount paid, and depth are all in the record.","Asserted loss $10,146,341.29 (press: > $13M); per-event amounts $1,477,618 / $418,746 / $1,947,934 / $496,850 / $576,155 (≈ $4.92M); $600,000 paid ($200,000 × 3 events) under a $2.5M per-event flood deductible; > $141.9M value in place; ≈ 13 ft flood depth.",Project MW capacity; TIV as a clean denominator; ground-up vs net reconciliation.,https://www.courtlistener.com/,2026-07-09,"Deductible structure is the key lesson: large gross flood loss, small net recovery. No MW to normalize."
SOUTH_ALEXANDER_MARKEL_2023,South Alexander Solar v. Markel — Hurricane Ida flood/BI claim,forensic_adjuster_engineering_case_study,HAS_OPEN_NUMBERS,"['EVENT_LOSS', 'BI_DOWNTIME', 'DEDUCTIBLE_SUBLIMIT']","['CASE_STUDY_ONLY', 'SECONDARY_BENCHMARK']","Second open-dollar solar flood loss with an explicit BI sublimit, from Hurricane Ida.","$1,099,614.02 physical damage claim plus a $210,000 business-interruption limit (Hurricane Ida).",Project MW capacity; TIV; ground-up distribution.,https://www.courtlistener.com/,2026-07-09,Corroborates litigation as the most reliable open solar flood dollar source; still no MW denominator.
DEPCOM_FLOOD_RESPONSE_CASE,DEPCOM Power — 92-MW solar flood response case study,forensic_adjuster_engineering_case_study,HAS_OPEN_NUMBERS,"['EVENT_LOSS', 'FLOOD_DEPTH', 'BI_DOWNTIME', 'MITIGATION_STATE', 'COMPONENT_COST']",['CASE_STUDY_ONLY'],Rare capacity-tagged (92 MW) solar flood event with avoided-loss and downtime figures.,92-MW site; 10 of 40 PCS units affected; 12–18 in standing water; $2.5M–$6.5M cited as saved (source-internal inconsistency); $1.8M salvage; $4M avoided loss; $400K–$700K revenue exposure; pads raised +3 ft; 6-week vs 22-week recovery.,Clean gross loss; TIV; reconciled saved-figure; net-of-deductible loss.,https://depcompower.com/,2026-07-09,"Has MW, but the headline dollar figures are self-inconsistent; use as directional avoided-loss/downtime evidence only."
NEW_ENGLAND_SOLAR_BI_2022,New England Solar (Australia) — flood-related BI / delay disclosure,forensic_adjuster_engineering_case_study,HAS_OPEN_NUMBERS,"['BI_DOWNTIME', 'EVENT_LOSS', 'DOLLARS_PER_MW']","['CASE_STUDY_ONLY', 'SECONDARY_BENCHMARK']",One of the few solar flood datapoints that yields a derived $/MW after dividing disclosed BI by capacity.,"A$30M lost earnings over a 400-MW project → derived A$75,000/MW (business-interruption / delay basis, not physical damage).",Physical-damage $/MW; TIV; currency-normalized USD; gross vs net.,https://www.acciona.com.au/,2026-07-09,"Derived $/MW is BI/delay, not physical damage; flag basis clearly and keep in AUD."
VALDORA_SOLAR_ZERO_LOSS_2022,Valdora Solar (15 MW) — zero-damage flood outcome with freeboard,forensic_adjuster_engineering_case_study,HAS_OPEN_NUMBERS,"['EVENT_LOSS', 'FLOOD_DEPTH', 'MITIGATION_STATE', 'BI_DOWNTIME']",['CASE_STUDY_ONLY'],Zero-loss lower anchor: a well-elevated solar site took a major flood with no physical damage.,15-MW site; $0 physical damage; ≈ 1.2 m freeboard design; ≈ 13-day precautionary outage.,Any positive loss figure (by design); TIV.,https://www.pv-magazine-australia.com/,2026-07-09,Critical lower-bound anchor: elevation/freeboard can drive physical flood loss to zero even in a large event.
VDE_AXIS_PERIL_MIX_2025,VDE Americas / AXIS — portfolio peril-mix ground-up loss breakdown,engineered_pml_aal_product,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'EVENT_LOSS_AGGREGATE', 'AAL']","['PRIMARY_BENCHMARK_CANDIDATE', 'SECONDARY_BENCHMARK']","Only open source giving flood a share of a quantified solar ground-up loss pool, enabling a derived aggregate flood dollar figure.","Flood = 0.197% of ≈ $1.5B ground-up solar losses ≈ $3M derived; portfolio 13,000+ asset-years / 92 GW DC / ≈ $100B TIV / all 50 states / 2012–2025.",Per-project flood severity; $/MW; flood loss distribution; affected capacity.,https://www.vde.com/en/vde-americas/,2026-07-09,"Derived ≈ $3M is a portfolio aggregate over 13 years, not a per-event or per-project severity."
NREL_PV_FLOOD_RESILIENCE,NREL — PV plant flood resilience / hardening guidance,government_engineering_guidance,NO_DIRECT_RENEWABLE_NUMBERS_FOUND,"['ELECTRICAL_BOS_DAMAGE', 'MITIGATION_STATE', 'FOUNDATION_SCOUR']",['MECHANISM_ONLY'],Mechanism guidance on which PV subsystems fail under inundation and how elevation mitigates.,"Qualitative: inverters, combiner boxes, and DC cabling are the flood-vulnerable failure units; foundation scour and washout are secondary mechanisms.","AAL, PML, $/MW, depth-damage percentages.",https://www.nrel.gov/,2026-07-09,Supports the electrical/BOS failure-unit argument; not financial.
IEC_60529_INGRESS_PROTECTION,IEC 60529 — ingress protection (IP) ratings for PV equipment,engineering_standard,HAS_OPEN_NUMBERS,"['ELECTRICAL_BOS_DAMAGE', 'INUNDATION_DURATION', 'FLOOD_DEPTH']",['MECHANISM_ONLY'],Defines the submersion thresholds (IPX7/IPX8) that determine whether inundated PV equipment survives.,"IPX7 = 1 m / 30 min immersion; IPX8 = continuous immersion at negotiated depth; junction boxes commonly IP68 (e.g., 1.5 m / 30 min).",Dollar losses; damage ratios; solar AAL.,https://webstore.iec.ch/publication/2452,2026-07-09,Sets the depth/duration ingress thresholds behind any solar flood depth-damage assumption.
DOE_FEMP_FLOOD_ELEVATION,DOE / FEMP — flood elevation guidance for critical energy equipment,government_engineering_guidance,NO_DIRECT_RENEWABLE_NUMBERS_FOUND,"['MITIGATION_STATE', 'FLOOD_DEPTH', 'FREEBOARD']",['MECHANISM_ONLY'],Elevation-standard context (100-/500-yr) for siting solar electrical equipment above flood levels.,Guidance to elevate critical equipment above the 100-yr and preferably 500-yr flood elevation.,"AAL, PML, $/MW, claims.",https://www.energy.gov/femp/,2026-07-09,Mechanism/standard; reinforces freeboard as the primary flood mitigation knob.
NFIP_CLAIMS_STATISTICS,FEMA NFIP — national flood insurance claims statistics (generic),government_public_dataset,HAS_OPEN_NUMBERS,"['CLAIM_SEVERITY', 'DEDUCTIBLE_SUBLIMIT']","['MECHANISM_ONLY', 'SECONDARY_BENCHMARK']","Generic (non-solar) flood claim severity and coverage-cap context, downgraded for solar use.","Avg claim ≈ $68,000 (2016–21), ≈ $44,401 (2021); caps $250K/$100K residential, $500K/$500K commercial; 2024 ≈ 101,494 claims / $7.96B.",Any solar/utility-scale asset; $/MW; solar AAL.,https://www.fema.gov/about/reports-and-data/data-visualization/national-flood-insurance-program-nfip,2026-07-09,"Building/contents flood claims only; generic magnitude context, not a solar benchmark."
NOAA_BILLION_DOLLAR_FLOOD,NOAA NCEI — billion-dollar flooding disasters (generic),government_public_dataset,HAS_OPEN_NUMBERS,['EVENT_LOSS_AGGREGATE'],['MECHANISM_ONLY'],National flood-event loss scale for macro context; not asset-specific.,≈ 45 billion-dollar flood events totaling ≈ $203.3B (≈ $4.5B average per event).,Solar breakouts; $/MW; asset-class losses.,https://www.ncei.noaa.gov/access/billions/,2026-07-09,"Macro scale only; establishes flood as a major national peril, no solar attribution."
USPVDB_V4_0_2026,U.S. Large-Scale Solar Photovoltaic Database,public_exposure_denominator,HAS_OPEN_NUMBERS,"['DENOMINATOR', 'LOCATION', 'BOUNDARY', 'CAPACITY']",['DENOMINATOR_ONLY'],Exposure denominator and geolocation for joining solar assets to flood-hazard layers (floodplain overlay).,"v4.0 / April 2026; 6,611 facilities; ≈ 131,573 MW AC; array boundaries/locations enable floodplain intersection.","Losses, claims, insured values, flood elevation per asset.",https://energy.usgs.gov/uspvdb/,2026-07-09,Required to normalize external flood claims/models and to compute floodplain-exposed capacity.
EIA_860_2025_EARLY_RELEASE,EIA-860 annual generator data,public_exposure_denominator,HAS_OPEN_NUMBERS,"['DENOMINATOR', 'CAPACITY', 'GENERATOR', 'STATUS']",['DENOMINATOR_ONLY'],Generator-level capacity/status crosswalk for flood-exposure reconciliation alongside USPVDB.,"Generator-level data for plants ≥ 1 MW; 2025 early release posted June 9, 2026.","Insurance claims, AAL/PML, flood losses.",https://www.eia.gov/electricity/data/eia860/,2026-07-09,Capacity/vintage/owner status; no direct loss numbers.
